storeName,storeAddress,avgRating,nrReviews,priceCategory,CousineType,all_ranks,all_ratings
Enomania,"Vesterbrogade 187, Frederiksberg, Copenhagen 1800 Denmark",4.5,277,$$ - $$$,"['Italian', 'European', 'Wine Bar']","['#1 of 22 Italian in Frederiksberg', '#1 of 194 Restaurants in Frederiksberg']","[('Food', 5.0), ('Service', 5.0), ('Value', 4.5), ('Atmosphere', 4.5)]"
Restaurant Komplet,"A Krystalgade 9, Copenhagen 1172 Denmark",4.5,470,$$ - $$$,"['Danish', 'Gluten Free Options']","['#20 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 5.0), ('Value', 4.5)]"
Souls,"Melchiors Plads 3 Shop 6, Copenhagen 2100 Denmark",4.5,765,$$ - $$$,"['Cafe', 'European', 'Healthy']","['#3 of 402 Cafe in Copenhagen', '#21 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Geranium,"Per Henrik Lings Alle 4, 8., Copenhagen Denmark",4.5,"1,106",$$$$,"['European', 'Scandinavian', 'Danish']","['#16 of 840 European in Copenhagen', '#22 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Banana Joe,"Elmegade 18, Copenhagen 2200 Denmark",4.5,441,$,"['American', 'Fast Food', 'Vegetarian Friendly']","['#23 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 5.0), ('Value', 5.0), ('Atmosphere', 4.5)]"
Trattoria SUD,"Frederiksborggade 27 Close to Nørreport station and Israels Plads, Copenhagen 1360 Denmark",4.5,482,$$ - $$$,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",[],"[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Mielcke & Hurtigkarl,"Fr.Berg Runddel 1, Frederiksberg, Copenhagen 2000 Denmark",4.5,278,$$$$,"['International', 'European', 'Contemporary']",['#2 of 194 Restaurants in Frederiksberg'],"[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Cafe Patina,"Mysundegade 26 Tæt på metro station Enghave Plads, Copenhagen 1668 Denmark",4.5,126,$$ - $$$,"['Mediterranean', 'European', 'Greek']","['#4 of 109 Mediterranean in Copenhagen', '#25 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 5.0), ('Value', 4.5)]"
Restaurant Schonnemann,"Haydee Plads 16-28, Copenhagen 1127 Denmark",4.5,209,$$ - $$$,"['Scandinavian', 'Danish', 'Gluten Free Options']","['#26 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Husmann's Vinstue,"Larsbjoernsstraede 2, Copenhagen 1454 Denmark",4.5,292,$$ - $$$,"['European', 'Scandinavian', 'Danish']",[],"[('Food', 4.5), ('Service', 5.0), ('Value', 4.5), ('Atmosphere', 4.5)]"
Restaurant leaven,"Ny Adelgade 4, Copenhagen 1104 Denmark",4.5,347,$$$$,"['French', 'Seafood', 'Wine Bar']","['#2 of 96 French in Copenhagen', '#28 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 4.5), ('Value', 4.5)]"
The Red Box,"Store Kongensgade 42, Copenhagen 1264 Denmark",4.5,535,$$ - $$$,"['French', 'Asian', 'Fusion']","['#29 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 5.0), ('Value', 4.5), ('Atmosphere', 4.5)]"
Restaurant Gronnegade,"Groennegade 39, Copenhagen 1107 Denmark",4.5,593,$$$$,"['Seafood', 'Scandinavian', 'Danish']","['#4 of 82 Seafood in Copenhagen', '#30 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Studio - The Standard,"Havnegade 44, Copenhagen 1058 Denmark",4.5,466,$$$$,"['European', 'Scandinavian', 'Danish']","['#31 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 5.0), ('Value', 4.5), ('Atmosphere', 4.5)]"
Kong Hans Kaelder,"Vingaardstraede 6, Copenhagen 1070 Denmark",4.5,301,$$$$,"['French', 'European', 'Scandinavian']","['#4 of 96 French in Copenhagen', '#32 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.5)]"
Basso København,"Dronningens Tvaergade 22, Copenhagen 1302 Denmark",4.5,495,$$ - $$$,"['Italian', 'European', 'Vegetarian Friendly']","['#33 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Høst,"Noerre Farimagsgade 41, Copenhagen 1364 Denmark",4.5,"2,196",$$$$,"['Contemporary', 'Healthy', 'Scandinavian']","['#4 of 63 Contemporary in Copenhagen', '#34 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Ché Fè Trattoria,"Borgergade 17A, Copenhagen 1300 Denmark",4.5,625,$$ - $$$,"['Italian', 'Sicilian', 'Southern-Italian']","['#5 of 238 Italian in Copenhagen', '#35 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.0)]"
Restaurant Frederiks Have,"Smallegade 41, Frederiksberg, Copenhagen 2000 Denmark",4.5,559,$$$$,"['International', 'European', 'Scandinavian']","['#2 of 8 International in Frederiksberg', '#3 of 194 Restaurants in Frederiksberg']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Ravnsborg Kitchen & Bar,"Ravnsborggade 1, Copenhagen 2200 Denmark",4.5,538,$$ - $$$,"['Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']","['#36 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0)]"
Temporada Tapas-Bar,"Aaboulevard 23 Frederiksberg, Copenhagen 2000 Denmark",4.5,306,$$ - $$$,"['Mediterranean', 'European', 'Spanish']","['#5 of 109 Mediterranean in Copenhagen', '#37 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Chao Viet Kitchen,"Kattesundet 8 Indre By, Copenhagen 1458 Denmark",4.5,586,$,"['Asian', 'Vietnamese', 'Healthy']","['#38 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.0), ('Value', 4.5)]"
Restaurant Tight,"Hyskenstraede 10, Copenhagen 1207 Denmark",4.5,"3,003",$$ - $$$,"['Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']","['#39 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Feed Bistro,"Faelledvej 5, Copenhagen 2200 Denmark",4.5,612,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#26 of 840 European in Copenhagen', '#40 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Bowl Market Copenhagen,"Gasvaerksvej 3, Copenhagen 1656 Denmark",4.5,138,$$ - $$$,"['Cafe', 'Healthy', 'Vegetarian Friendly']","['#6 of 402 Cafe in Copenhagen', '#41 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 4.5), ('Value', 4.5)]"
Cofoco,"Abel Cathrines Gade 7, Copenhagen 1654 Denmark",4.5,"1,116",$$ - $$$,"['Contemporary', 'Gastropub', 'Scandinavian']","['#42 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Bastard Café,"Raadhusstraede 13, Copenhagen 1466 Denmark",4.5,288,$,"['Quick Bites', 'Bar', 'Cafe']","['#1 of 177 Bar in Copenhagen', '#43 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.5), ('Value', 4.5)]"
Restaurant Nepali Bhancha,"H.C. Oersteds Vej 50 D, Copenhagen 1879 Denmark",4.5,240,$$ - $$$,"['Nepali', 'Vegetarian Friendly', 'Vegan Options']",[],"[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Restaurant Amalie,"Amaliegade 11, Copenhagen 1256 Denmark",4.5,432,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#45 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Noma,"Refshalevej 96, Copenhagen 1432 Denmark",4.5,"1,710",$$$$,"['Contemporary', 'Healthy', 'Vegetarian Friendly']","['#6 of 63 Contemporary in Copenhagen', '#46 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 5.0), ('Value', 4.0), ('Atmosphere', 4.5)]"
Garden Restaurant & Wine bar,"Gothersgade 87 Basement, Copenhagen 1123 Denmark",4.5,195,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#28 of 840 European in Copenhagen', '#47 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Restaurant Under Uret,"Oster Farimagsgade 4, Copenhagen 2100 Denmark",4.5,184,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#30 of 840 European in Copenhagen', '#48 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 5.0), ('Value', 4.5), ('Atmosphere', 4.5)]"
Sporvejen,"Graabroedretorv 17, Copenhagen 1154 Denmark",4.5,"1,056",$,"['American', 'Bar', 'European']","['#4 of 112 American in Copenhagen', '#49 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Sankt Annae 8,"Wildersgade 52, Copenhagen Denmark",4.5,221,$$ - $$$,"['European', 'Wine Bar', 'Danish']","['#50 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Vaekst,"Skt. Peders Straede 34, Copenhagen 1453 Denmark",4.5,639,$$$$,"['Contemporary', 'Healthy', 'Scandinavian']","['#51 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0)]"
Kadeau Copenhagen,"Wildersgade 10B Christianhavn, Copenhagen 1408 Denmark",4.5,306,$$$$,"['European', 'Scandinavian', 'Danish']","['#52 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.5)]"
RetroGusto,"Vesterbrogade 31 Vesterbrogade 31,, Copenhagen 1620 Denmark",4.5,636,$$ - $$$,"['Italian', 'Mediterranean', 'European']","['#6 of 238 Italian in Copenhagen', '#53 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Restaurant Schoennemann,"Hauser Plads 16, Copenhagen 1127 Denmark",4.5,757,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#54 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.5)]"
KöD Vesterbro,"Vesterbrogade 33, Copenhagen 1620 Denmark",4.5,961,$$ - $$$,"['Steakhouse', 'Barbecue', 'European']","['#1 of 32 Steakhouse in Copenhagen', '#55 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Morgenstedet,"Fabriksomraadet 134, Copenhagen 1440 Denmark",4.5,254,$,"['Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']","['#56 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.0), ('Value', 4.5), ('Atmosphere', 4.5)]"
Restaurant Radio,"Julius Thomsens Gade 12, Copenhagen Denmark",4.5,888,$$$$,"['European', 'Scandinavian', 'Danish']","['#38 of 840 European in Copenhagen', '#57 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Frenchy,"Hyskenstraede 16, Copenhagen 1264 Denmark",4.5,220,$$ - $$$,"['French', 'Cafe', 'European']","['#5 of 96 French in Copenhagen', '#58 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 5.0)]"
San Marco Junior,"Falkoner Alle 10 Over for falkonersalen, Frederiksberg, Copenhagen 2000 Denmark",4.5,178,$$ - $$$,"['Italian', 'European', 'Central European']",['#4 of 194 Restaurants in Frederiksberg'],"[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Chez Bruno,"Gammel Kongevej 27, St, Copenhagen 1610 Denmark",4.5,416,$$ - $$$,"['French', 'European', 'Vegetarian Friendly']","['#6 of 96 French in Copenhagen', '#59 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
KöD Copenhagen,"Admiralgade 25, Copenhagen 1066 Denmark",4.5,"1,143",$$ - $$$,"['Steakhouse', 'Barbecue', 'European']","['#60 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 5.0)]"
Kiin Kiin,"Guldbergsgade 21, Copenhagen 2200 Denmark",4.5,832,$$$$,"['Asian', 'Thai', 'Vegetarian Friendly']","['#4 of 226 Asian in Copenhagen', '#61 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Mad & Kaffe,"Soender Boulevard 68 Koebenhavn V, Copenhagen 1720 Denmark",4.5,616,$$ - $$$,"['Cafe', 'European', 'Healthy']","['#10 of 402 Cafe in Copenhagen', '#62 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0)]"
BENTO Restaurant & Cocktail Bar,"Helgolandsgade 16, Copenhagen 1653 Denmark",4.5,304,$$ - $$$,"['Japanese', 'Asian', 'Vegetarian Friendly']","['#1 of 103 Japanese in Copenhagen', '#63 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 5.0), ('Value', 4.0), ('Atmosphere', 4.5)]"
Restaurant Ravelinen,"Torvegade 79, Copenhagen 1400 Denmark",4.5,452,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#64 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Toto Vin & Spisebar,"Amagerbrogade 145, Copenhagen 2300 Denmark",5.0,106,$$ - $$$,"['European', 'Wine Bar', 'Vegetarian Friendly']","['#66 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Khun Juk Oriental,"Store Kongensgade 9 Backyard, Copenhagen Denmark",4.5,861,$$ - $$$,"['Asian', 'Thai', 'Vegetarian Friendly']","['#6 of 226 Asian in Copenhagen', '#65 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
L'Enoteca di Mr. Brunello Restaurant & Wine Shop,"Rysensteensgade 16, Copenhagen 1564 Denmark",4.5,236,$$$$,"['Italian', 'Mediterranean', 'European']","['#67 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Nebbiolo Winebar,"Store Strandstraede 18B, Copenhagen 1255 Denmark",4.5,153,$$ - $$$,"['Italian', 'European', 'Wine Bar']","['#9 of 238 Italian in Copenhagen', '#68 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0)]"
Norrlyst,"Kompagnistraede 8, Copenhagen 1208 Denmark",5.0,115,$$ - $$$,"['Contemporary', 'Healthy', 'Scandinavian']","['#69 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Den Lille Fede Restaurant,"Store Kongensgade 17, Copenhagen 1264 Denmark",4.5,757,$$$$,"['European', 'Central European', 'Scandinavian']","['#47 of 840 European in Copenhagen', '#70 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Mikkeller & Friends,"Stefansgade 35, Copenhagen Denmark",4.5,258,$$ - $$$,['Pub'],"['#71 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.5)]"
Halifax København K,"Larsbjoernsstraede 9, Copenhagen 1454 Denmark",4.5,277,$$ - $$$,"['American', 'Bar', 'Vegetarian Friendly']","['#72 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.0)]"
Ristorante Buono,"Abel Cathrines Gade 21, Copenhagen 1654 Denmark",4.5,216,$$ - $$$,"['Italian', 'Mediterranean', 'European']","['#10 of 238 Italian in Copenhagen', '#73 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Stempel - Bar & Kitchen,"Enghave Plads 2, Copenhagen 1670 Denmark",4.5,315,$$ - $$$,"['Bar', 'Cafe', 'International']","['#4 of 177 Bar in Copenhagen', '#74 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Cafe Gammel Torv,"Gammeltorv 20, Copenhagen 1457 Denmark",4.5,223,$$ - $$$,"['Scandinavian', 'Danish']","['#75 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Pony,"Vesterbrogade 135, Copenhagen 1620 Denmark",4.5,286,$$$$,"['European', 'Scandinavian', 'Danish']","['#51 of 840 European in Copenhagen', '#76 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.0)]"
simpleRAW,"Graabroedretorv 9, Copenhagen 1154 Denmark",4.5,256,$$ - $$$,"['European', 'Healthy', 'Vegetarian Friendly']","['#52 of 840 European in Copenhagen', '#77 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.0), ('Value', 4.0)]"
Mikkeller Bar,"Viktoriagade 8 BC 1655, Copenhagen 1655 Denmark",4.5,891,$$ - $$$,"['Brew Pub', 'Pub', 'Danish']","['#1 of 16 Brew Pub in Copenhagen', '#78 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.5)]"
Sticks'n'Sushi,"Nansensgade 59, Copenhagen 1366 Denmark",4.5,449,$$ - $$$,"['Japanese', 'Seafood', 'Sushi']","['#2 of 103 Japanese in Copenhagen', '#79 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.0)]"
Aamanns Etablissement,"Oster Farimagsgade 12, Copenhagen 2100 Denmark",4.5,197,$$ - $$$,"['Scandinavian', 'Danish', 'Vegetarian Friendly']","['#33 of 331 Scandinavian in Copenhagen', '#80 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.0)]"
Aamanns 1921,"Niels Hemmingsens Gade 19-21, Copenhagen 1153 Denmark",4.5,286,$$ - $$$,"['Scandinavian', 'Danish', 'Vegetarian Friendly']","['#34 of 331 Scandinavian in Copenhagen', '#81 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Restaurant Palaegade,"Palaegade 8, Copenhagen 1261 Denmark",4.5,361,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#53 of 840 European in Copenhagen', '#82 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0)]"
AOC,"Dronningens Tvaergade 2, Copenhagen 1302 Denmark",4.5,341,$$$$,"['European', 'Scandinavian', 'Danish']","['#83 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.0)]"
Restaurant 1733,"Nybrogade 14, Copenhagen 1203 Denmark",5.0,108,$$ - $$$,"['European', 'Scandinavian', 'Danish']",[],"[('Food', 5.0), ('Service', 5.0), ('Value', 4.5)]"
Told&Snaps,"Toldbodgade 2, Copenhagen Denmark",4.5,587,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#55 of 840 European in Copenhagen', '#84 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.5)]"
Restaurant Koefoed,"Landgreven 3, Copenhagen 1301 Denmark",4.5,699,$$$$,"['European', 'Scandinavian', 'Danish']","['#57 of 840 European in Copenhagen', '#86 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.5)]"
H table,"Gyldenloevesgade 10, Copenhagen 1369 Denmark",5.0,72,$$ - $$$,"['Chinese', 'Asian', 'Vegetarian Friendly']","['#2 of 45 Chinese in Copenhagen', '#88 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 5.0), ('Value', 5.0)]"
Le Pave,"Graabroedretorv 14, Copenhagen 1154 Denmark",4.5,291,$$ - $$$,"['French', 'European', 'Vegetarian Friendly']","['#7 of 96 French in Copenhagen', '#87 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.0)]"
Amass,"Refshalevej 153, Copenhagen 1432 Denmark",4.5,634,$$$$,"['Contemporary', 'Scandinavian', 'Danish']","['#9 of 63 Contemporary in Copenhagen', '#89 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.5)]"
El Meson,"Hauser Plads 12, Copenhagen 1127 Denmark",4.5,302,$$ - $$$,"['Mediterranean', 'European', 'Spanish']","['#90 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0)]"
Flottenheimer,"Skindergade 20, Copenhagen 1159 Denmark",4.5,405,$$ - $$$,"['Cafe', 'European', 'Scandinavian']","['#14 of 402 Cafe in Copenhagen', '#91 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.5)]"
